sample_id,hex_out,float_out,label,prediction,correct,latency_cycles_cnn,latency_us
91,0x003fee54,-2.208984,0,0,1,203,1.015
92,0x003fee54,-2.208984,0,0,1,203,1.015
93,0x003fee54,-2.208984,0,0,1,204,1.020
94,0x003fee54,-2.208984,0,0,1,204,1.020
95,0x003fee54,-2.208984,0,0,1,204,1.020
96,0x003fee54,-2.208984,0,0,1,203,1.015
97,0x003fee54,-2.208984,0,0,1,203,1.015
98,0x003fee54,-2.208984,0,0,1,204,1.020
99,0x003fee54,-2.208984,0,0,1,204,1.020
100,0x003fee54,-2.208984,0,0,1,204,1.020
101,0x003fee54,-2.208984,0,0,1,203,1.015
102,0x003fee54,-2.208984,0,0,1,203,1.015
103,0x003fee54,-2.208984,0,0,1,204,1.020
104,0x003fee54,-2.208984,0,0,1,204,1.020
105,0x003fee54,-2.208984,0,0,1,204,1.020
106,0x003fee54,-2.208984,0,0,1,203,1.015
107,0x003fee54,-2.208984,0,0,1,203,1.015
108,0x003fee54,-2.208984,0,0,1,204,1.020
109,0x003fee54,-2.208984,0,0,1,204,1.020
110,0x003fee54,-2.208984,0,0,1,204,1.020
111,0x003fee54,-2.208984,0,0,1,203,1.015
112,0x003fee54,-2.208984,0,0,1,203,1.015
113,0x003fee54,-2.208984,0,0,1,204,1.020
114,0x003fee54,-2.208984,0,0,1,204,1.020
115,0x003fee54,-2.208984,0,0,1,204,1.020
116,0x003fee54,-2.208984,0,0,1,203,1.015
117,0x003fee54,-2.208984,0,0,1,203,1.015
118,0x003fee54,-2.208984,0,0,1,204,1.020
119,0x003fee54,-2.208984,0,0,1,204,1.020
120,0x003fee54,-2.208984,0,0,1,204,1.020
121,0x003fee54,-2.208984,0,0,1,203,1.015
122,0x003fee54,-2.208984,0,0,1,203,1.015
123,0x003fee54,-2.208984,0,0,1,204,1.020
124,0x003fee54,-2.208984,0,0,1,204,1.020
125,0x003fee54,-2.208984,0,0,1,204,1.020
126,0x003fee54,-2.208984,0,0,1,203,1.015
127,0x003fee54,-2.208984,0,0,1,203,1.015
128,0x003fee54,-2.208984,0,0,1,204,1.020
129,0x003fee54,-2.208984,0,0,1,204,1.020
130,0x003fee54,-2.208984,0,0,1,204,1.020
131,0x003fee54,-2.208984,0,0,1,203,1.015
132,0x003fee54,-2.208984,0,0,1,203,1.015
133,0x003fee54,-2.208984,0,0,1,204,1.020
134,0x003fee54,-2.208984,0,0,1,204,1.020
135,0x003fee54,-2.208984,0,0,1,204,1.020
136,0x003fee54,-2.208984,0,0,1,203,1.015
137,0x003fee54,-2.208984,0,0,1,203,1.015
138,0x003fee54,-2.208984,0,0,1,204,1.020
139,0x003fee54,-2.208984,0,0,1,204,1.020
140,0x003fee54,-2.208984,0,0,1,204,1.020
141,0x003fee54,-2.208984,0,0,1,203,1.015
142,0x003fee54,-2.208984,0,0,1,203,1.015
143,0x003fee54,-2.208984,0,0,1,204,1.020
144,0x003fee54,-2.208984,0,0,1,204,1.020
145,0x003fee54,-2.208984,0,0,1,204,1.020
146,0x003fee54,-2.208984,0,0,1,203,1.015
147,0x003fee54,-2.208984,0,0,1,203,1.015
148,0x003fee54,-2.208984,0,0,1,204,1.020
149,0x003fee54,-2.208984,0,0,1,204,1.020
