sample_id,hex_out,float_out,label,prediction,correct,latency_cycles_cnn,latency_us,input_first_fire_time_ns,input_last_fire_time_ns,cnn_result_time_ns
232,0x003fed7c,-2.314453,0,0,1,203,1.015,235690,235942,236703
233,0x003fed38,-2.347656,0,0,1,202,1.010,236706,236958,237718
234,0x003fecd1,-2.397949,0,0,1,203,1.015,237718,237970,238733
235,0x003fed6d,-2.321777,0,0,1,203,1.015,238734,238986,239748
236,0x003fed06,-2.372070,0,0,1,203,1.015,239750,240002,240763
237,0x003feccd,-2.399902,0,0,1,202,1.010,240766,241018,241778
238,0x003fed29,-2.354980,0,0,1,203,1.015,241778,242030,242793
239,0x003fed2c,-2.353516,0,0,1,203,1.015,242794,243046,243808
240,0x003fec45,-2.466309,0,0,1,203,1.015,243810,244062,244823
241,0x003fecec,-2.384766,0,0,1,202,1.010,244826,245078,245838
242,0x003fed0c,-2.369141,0,0,1,203,1.015,245838,246090,246853
243,0x003fece4,-2.388672,0,0,1,203,1.015,246854,247106,247868
244,0x003fecff,-2.375488,0,0,1,203,1.015,247870,248122,248883
245,0x003fed22,-2.358398,0,0,1,202,1.010,248886,249138,249898
246,0x003fec35,-2.474121,0,0,1,203,1.015,249898,250150,250913
247,0x003fecbd,-2.407715,0,0,1,203,1.015,250914,251166,251928
248,0x003fed05,-2.372559,0,0,1,203,1.015,251930,252182,252943
249,0x003fec9f,-2.422363,0,0,1,202,1.010,252946,253198,253958
250,0x003fec95,-2.427246,0,0,1,203,1.015,253958,254210,254973
251,0x003fed40,-2.343750,0,0,1,203,1.015,254974,255226,255988
252,0x003fec9a,-2.424805,0,0,1,203,1.015,255990,256242,257003
253,0x003fec47,-2.465332,0,0,1,202,1.010,257006,257258,258018
254,0x003fecf4,-2.380859,0,0,1,203,1.015,258018,258270,259033
255,0x003fecc7,-2.402832,0,0,1,203,1.015,259034,259286,260048
256,0x003fec5f,-2.453613,0,0,1,203,1.015,260050,260302,261063
257,0x003fed25,-2.356934,0,0,1,202,1.010,261066,261318,262078
258,0x003fec64,-2.451172,0,0,1,203,1.015,262078,262330,263093
259,0x003feca6,-2.418945,0,0,1,203,1.015,263094,263346,264108
260,0x003fecfb,-2.377441,0,0,1,203,1.015,264110,264362,265123
261,0x003fecd6,-2.395508,0,0,1,202,1.010,265126,265378,266138
262,0x003fecaf,-2.414551,0,0,1,203,1.015,266138,266390,267153
263,0x003fed14,-2.365234,0,0,1,203,1.015,267154,267406,268168
264,0x003fecc8,-2.402344,0,0,1,203,1.015,268170,268422,269183
265,0x003fece3,-2.389160,0,0,1,202,1.010,269186,269438,270198
266,0x003fed43,-2.342285,0,0,1,203,1.015,270198,270450,271213
267,0x003fecdb,-2.393066,0,0,1,203,1.015,271214,271466,272228
268,0x003fecda,-2.393555,0,0,1,203,1.015,272230,272482,273243
269,0x003fed3b,-2.346191,0,0,1,202,1.010,273246,273498,274258
270,0x003fecb5,-2.411621,0,0,1,203,1.015,274258,274510,275273
271,0x003fecf2,-2.381836,0,0,1,203,1.015,275274,275526,276288
272,0x003fed5b,-2.330566,0,0,1,203,1.015,276290,276542,277303
273,0x003fed7f,-2.312988,0,0,1,202,1.010,277306,277558,278318
274,0x003fed1d,-2.360840,0,0,1,203,1.015,278318,278570,279333
275,0x003fed11,-2.366699,0,0,1,203,1.015,279334,279586,280348
276,0x003fed4d,-2.337402,0,0,1,203,1.015,280350,280602,281363
277,0x003fed22,-2.358398,0,0,1,202,1.010,281366,281618,282378
278,0x003fed9e,-2.297852,0,0,1,203,1.015,282378,282630,283393
279,0x003fed78,-2.316406,0,0,1,203,1.015,283394,283646,284408
280,0x003fed13,-2.365723,0,0,1,203,1.015,284410,284662,285423
281,0x003fed7a,-2.315430,0,0,1,202,1.010,285426,285678,286438
282,0x003fed3c,-2.345703,0,0,1,203,1.015,286438,286690,287453
283,0x003fece6,-2.387695,0,0,1,203,1.015,287454,287706,288468
284,0x003fed7c,-2.314453,0,0,1,203,1.015,288470,288722,289483
285,0x003fedff,-2.250488,0,0,1,202,1.010,289486,289738,290498
286,0x003fed69,-2.323730,0,0,1,203,1.015,290498,290750,291513
287,0x003fed6e,-2.321289,0,0,1,203,1.015,291514,291766,292528
288,0x003feda0,-2.296875,0,0,1,203,1.015,292530,292782,293543
289,0x003fed5c,-2.330078,0,0,1,202,1.010,293546,293798,294558
