source_chunk_id,local_chunk_id,label,input_batch_index,input_time_ns,input_first_fire_time_ns,input_last_fire_time_ns,input_stream_complete,input_valid,sim_input_ready,input_fire,input_ch0_s0,input_ch0_s1,input_ch0_s2,input_ch0_s3,input_ch1_s0,input_ch1_s1,input_ch1_s2,input_ch1_s3,input_ch2_s0,input_ch2_s1,input_ch2_s2,input_ch2_s3,input_ch3_s0,input_ch3_s1,input_ch3_s2,input_ch3_s3,input_ch4_s0,input_ch4_s1,input_ch4_s2,input_ch4_s3,input_ch5_s0,input_ch5_s1,input_ch5_s2,input_ch5_s3,input_ch6_s0,input_ch6_s1,input_ch6_s2,input_ch6_s3,input_ch7_s0,input_ch7_s1,input_ch7_s2,input_ch7_s3,cnn_result_seen,cnn_result_time_ns,cnn_score_hex,cnn_score_float,cnn_threshold_raw,cnn_threshold_float,trigger_decision,cnn_latency_cycles,cnn_latency_ns,event_present,event_index,event_output_time_ns,event_valid,event_ready,event_fire,event_chunk_id,event_timestamp,event_score_hex,event_batch_index,event_last,event_ch0_s0,event_ch0_s1,event_ch0_s2,event_ch0_s3,event_ch1_s0,event_ch1_s1,event_ch1_s2,event_ch1_s3,event_ch2_s0,event_ch2_s1,event_ch2_s2,event_ch2_s3,event_ch3_s0,event_ch3_s1,event_ch3_s2,event_ch3_s3,event_ch4_s0,event_ch4_s1,event_ch4_s2,event_ch4_s3,event_ch5_s0,event_ch5_s1,event_ch5_s2,event_ch5_s3,event_ch6_s0,event_ch6_s1,event_ch6_s2,event_ch6_s3,event_ch7_s0,event_ch7_s1,event_ch7_s2,event_ch7_s3,waveform_match,event_beat_count,event_complete,event_line_rate_ok,signal_readout_ok,noise_ignored_ok,continuous_readout_ok,chunk_overflow_count,adc_input_overflow_count,dropped_trigger_count,ring_miss_count
490,0,1,30,354,234,486,1,1,1,1,-76,84,-98,-70,12,-82,66,37,31,60,-14,-27,3,-37,31,-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1243,0x00001adc,3.357422,0,0.000000,1,202,1010.000,1,0,1418,1,1,1,0,0,0x00001adc,30,0,-76,84,-98,-70,12,-82,66,37,31,60,-14,-27,3,-37,31,-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,1,1,0,0,0,0,0,0
490,0,1,31,358,234,486,1,1,1,1,165,-45,4,10,-64,46,-47,6,-2,-34,30,7,8,-3,6,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1243,0x00001adc,3.357422,0,0.000000,1,202,1010.000,1,0,1422,1,1,1,0,0,0x00001adc,31,0,165,-45,4,10,-64,46,-47,6,-2,-34,30,7,8,-3,6,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,1,1,0,0,0,0,0,0
490,0,1,32,362,234,486,1,1,1,1,-88,57,27,-43,44,-34,-84,111,8,92,-130,-85,-70,-14,66,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1243,0x00001adc,3.357422,0,0.000000,1,202,1010.000,1,0,1426,1,1,1,0,0,0x00001adc,32,0,-88,57,27,-43,44,-34,-84,111,8,92,-130,-85,-70,-14,66,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,1,1,0,0,0,0,0,0
490,0,1,33,366,234,486,1,1,1,1,-6,40,40,-84,74,-119,3,-3,192,-21,-151,131,-5,-78,-29,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1243,0x00001adc,3.357422,0,0.000000,1,202,1010.000,1,0,1430,1,1,1,0,0,0x00001adc,33,0,-6,40,40,-84,74,-119,3,-3,192,-21,-151,131,-5,-78,-29,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,1,1,0,0,0,0,0,0
490,0,1,34,370,234,486,1,1,1,1,33,-33,-2,63,-9,36,57,-62,20,-68,-12,-40,108,-24,0,-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1243,0x00001adc,3.357422,0,0.000000,1,202,1010.000,1,0,1434,1,1,1,0,0,0x00001adc,34,0,33,-33,-2,63,-9,36,57,-62,20,-68,-12,-40,108,-24,0,-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,1,1,0,0,0,0,0,0
490,0,1,35,374,234,486,1,1,1,1,11,-73,40,-45,-13,-10,55,-51,88,35,8,-82,-8,134,-37,-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1243,0x00001adc,3.357422,0,0.000000,1,202,1010.000,1,0,1438,1,1,1,0,0,0x00001adc,35,0,11,-73,40,-45,-13,-10,55,-51,88,35,8,-82,-8,134,-37,-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,1,1,0,0,0,0,0,0
490,0,1,36,378,234,486,1,1,1,1,32,43,25,-135,11,-20,69,-5,-74,75,72,-48,-3,26,-46,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1243,0x00001adc,3.357422,0,0.000000,1,202,1010.000,1,0,1442,1,1,1,0,0,0x00001adc,36,0,32,43,25,-135,11,-20,69,-5,-74,75,72,-48,-3,26,-46,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,1,1,0,0,0,0,0,0
490,0,1,37,382,234,486,1,1,1,1,11,124,-102,94,-89,37,94,-79,-2,35,-108,119,88,-56,-37,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1243,0x00001adc,3.357422,0,0.000000,1,202,1010.000,1,0,1446,1,1,1,0,0,0x00001adc,37,0,11,124,-102,94,-89,37,94,-79,-2,35,-108,119,88,-56,-37,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,1,1,0,0,0,0,0,0
490,0,1,38,386,234,486,1,1,1,1,-69,-24,67,8,-73,102,-25,36,-74,0,16,34,-101,60,62,-160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1243,0x00001adc,3.357422,0,0.000000,1,202,1010.000,1,0,1450,1,1,1,0,0,0x00001adc,38,0,-69,-24,67,8,-73,102,-25,36,-74,0,16,34,-101,60,62,-160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,1,1,0,0,0,0,0,0
490,0,1,39,390,234,486,1,1,1,1,-75,-39,151,-92,-48,-36,72,19,62,-153,87,-67,14,142,-98,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1243,0x00001adc,3.357422,0,0.000000,1,202,1010.000,1,0,1454,1,1,1,0,0,0x00001adc,39,0,-75,-39,151,-92,-48,-36,72,19,62,-153,87,-67,14,142,-98,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,1,1,0,0,0,0,0,0
