sample_id,stim_kind,pulse_offset_sample,pulse_start_ns,pulse_width_samples,pulse_peak_mv,adc_code_pos,adc_code_neg,pulse_channel,hex_out,float_out,label,prediction,correct,latency_cycles_cnn,latency_us
143,bipolar_sweep,143,143,10,50.000,256,-256,0,0x003ff034,-1.974609,0,0,1,204,1.020
144,bipolar_sweep,144,144,10,50.000,256,-256,0,0x003feecc,-2.150391,0,0,1,204,1.020
145,bipolar_sweep,145,145,10,50.000,256,-256,0,0x003feec8,-2.152344,0,0,1,204,1.020
146,bipolar_sweep,146,146,10,50.000,256,-256,0,0x003ff04e,-1.961914,0,0,1,203,1.015
147,bipolar_sweep,147,147,10,50.000,256,-256,0,0x003ff00a,-1.995117,0,0,1,203,1.015
148,bipolar_sweep,148,148,10,50.000,256,-256,0,0x003fef98,-2.050781,0,0,1,204,1.020
149,bipolar_sweep,149,149,10,50.000,256,-256,0,0x003fefaa,-2.041992,0,0,1,204,1.020
150,bipolar_sweep,150,150,10,50.000,256,-256,0,0x003fee40,-2.218750,0,0,1,204,1.020
151,bipolar_sweep,151,151,10,50.000,256,-256,0,0x003fedf2,-2.256836,0,0,1,203,1.015
152,bipolar_sweep,152,152,10,50.000,256,-256,0,0x003fef20,-2.109375,0,0,1,203,1.015
153,bipolar_sweep,153,153,10,50.000,256,-256,0,0x003feefc,-2.126953,0,0,1,204,1.020
154,bipolar_sweep,154,154,10,50.000,256,-256,0,0x003fee48,-2.214844,0,0,1,204,1.020
155,bipolar_sweep,155,155,10,50.000,256,-256,0,0x003fee16,-2.239258,0,0,1,204,1.020
156,bipolar_sweep,156,156,10,50.000,256,-256,0,0x003fec7b,-2.439941,0,0,1,203,1.015
157,bipolar_sweep,157,157,10,50.000,256,-256,0,0x003fec6d,-2.446777,0,0,1,203,1.015
158,bipolar_sweep,158,158,10,50.000,256,-256,0,0x003fedc2,-2.280273,0,0,1,204,1.020
159,bipolar_sweep,159,159,10,50.000,256,-256,0,0x003fed37,-2.348145,0,0,1,204,1.020
160,bipolar_sweep,160,160,10,50.000,256,-256,0,0x003fecbd,-2.407715,0,0,1,204,1.020
161,bipolar_sweep,161,161,10,50.000,256,-256,0,0x003fed0a,-2.370117,0,0,1,203,1.015
162,bipolar_sweep,162,162,10,50.000,256,-256,0,0x003fec52,-2.459961,0,0,1,203,1.015
163,bipolar_sweep,163,163,10,50.000,256,-256,0,0x003fec42,-2.467773,0,0,1,204,1.020
164,bipolar_sweep,164,164,10,50.000,256,-256,0,0x003fedea,-2.260742,0,0,1,204,1.020
165,bipolar_sweep,165,165,10,50.000,256,-256,0,0x003fee12,-2.241211,0,0,1,204,1.020
166,bipolar_sweep,166,166,10,50.000,256,-256,0,0x003fee68,-2.199219,0,0,1,203,1.015
167,bipolar_sweep,167,167,10,50.000,256,-256,0,0x003fef28,-2.105469,0,0,1,203,1.015
168,bipolar_sweep,168,168,10,50.000,256,-256,0,0x003fedcc,-2.275391,0,0,1,204,1.020
169,bipolar_sweep,169,169,10,50.000,256,-256,0,0x003fedb0,-2.289062,0,0,1,204,1.020
170,bipolar_sweep,170,170,10,50.000,256,-256,0,0x003fefb4,-2.037109,0,0,1,204,1.020
171,bipolar_sweep,171,171,10,50.000,256,-256,0,0x003fef7e,-2.063477,0,0,1,203,1.015
