sample_id,hex_out,float_out,label,prediction,correct,latency_cycles_cnn,latency_us,input_first_fire_time_ns,input_last_fire_time_ns,cnn_result_time_ns
153,0x003ff707,-1.121582,0,0,1,202,1.010,155506,155758,156518
154,0x003ff5a3,-1.295410,0,0,1,203,1.015,156518,156770,157533
155,0x003ff5ed,-1.259277,0,0,1,203,1.015,157534,157786,158548
156,0x003ff91f,-0.859863,0,0,1,203,1.015,158550,158802,159563
157,0x003ff956,-0.833008,0,0,1,202,1.010,159566,159818,160578
158,0x003ff8a4,-0.919922,0,0,1,203,1.015,160578,160830,161593
159,0x003ff860,-0.953125,0,0,1,203,1.015,161594,161846,162608
160,0x003ff844,-0.966797,0,0,1,203,1.015,162610,162862,163623
161,0x003ff728,-1.105469,0,0,1,202,1.010,163626,163878,164638
162,0x003ff8e7,-0.887207,0,0,1,203,1.015,164638,164890,165653
163,0x003ff98f,-0.805176,0,0,1,203,1.015,165654,165906,166668
164,0x003ff8e1,-0.890137,0,0,1,203,1.015,166670,166922,167683
165,0x003ff967,-0.824707,0,0,1,202,1.010,167686,167938,168698
166,0x003ff8d2,-0.897461,0,0,1,203,1.015,168698,168950,169713
167,0x003ff70b,-1.119629,0,0,1,203,1.015,169714,169966,170728
168,0x003ff8f5,-0.880371,0,0,1,203,1.015,170730,170982,171743
169,0x003ff835,-0.974121,0,0,1,202,1.010,171746,171998,172758
170,0x003ff7fb,-1.002441,0,0,1,203,1.015,172758,173010,173773
171,0x003ff978,-0.816406,0,0,1,203,1.015,173774,174026,174788
172,0x003ff90e,-0.868164,0,0,1,203,1.015,174790,175042,175803
173,0x003ff7ae,-1.040039,0,0,1,202,1.010,175806,176058,176818
174,0x003ff839,-0.972168,0,0,1,203,1.015,176818,177070,177833
175,0x003ff87a,-0.940430,0,0,1,203,1.015,177834,178086,178848
176,0x003ff807,-0.996582,0,0,1,203,1.015,178850,179102,179863
177,0x003ff9c0,-0.781250,0,0,1,202,1.010,179866,180118,180878
178,0x003ff9cd,-0.774902,0,0,1,203,1.015,180878,181130,181893
179,0x003ff77d,-1.063965,0,0,1,203,1.015,181894,182146,182908
180,0x003ff758,-1.082031,0,0,1,203,1.015,182910,183162,183923
181,0x003ff7bc,-1.033203,0,0,1,202,1.010,183926,184178,184938
182,0x003ff6c0,-1.156250,0,0,1,203,1.015,184938,185190,185953
183,0x003ff866,-0.950195,0,0,1,203,1.015,185954,186206,186968
184,0x003ff8d9,-0.894043,0,0,1,203,1.015,186970,187222,187983
185,0x003ff719,-1.112793,0,0,1,202,1.010,187986,188238,188998
186,0x003ff6dc,-1.142578,0,0,1,203,1.015,188998,189250,190013
187,0x003ff704,-1.123047,0,0,1,203,1.015,190014,190266,191028
188,0x003ff66a,-1.198242,0,0,1,203,1.015,191030,191282,192043
189,0x003ff77d,-1.063965,0,0,1,202,1.010,192046,192298,193058
190,0x003ff7f7,-1.004395,0,0,1,203,1.015,193058,193310,194073
191,0x003ff6c3,-1.154785,0,0,1,203,1.015,194074,194326,195088
192,0x003ff6cb,-1.150879,0,0,1,203,1.015,195090,195342,196103
193,0x003ff6fd,-1.126465,0,0,1,202,1.010,196106,196358,197118
194,0x003ff5d1,-1.272949,0,0,1,203,1.015,197118,197370,198133
195,0x003ff581,-1.312012,0,0,1,203,1.015,198134,198386,199148
196,0x003ff6b4,-1.162109,0,0,1,203,1.015,199150,199402,200163
197,0x003ff740,-1.093750,0,0,1,202,1.010,200166,200418,201178
198,0x003ff733,-1.100098,0,0,1,203,1.015,201178,201430,202193
199,0x003ff637,-1.223145,0,0,1,203,1.015,202194,202446,203208
200,0x003ff519,-1.362793,0,0,1,203,1.015,203210,203462,204223
201,0x003ff491,-1.429199,0,0,1,202,1.010,204226,204478,205238
202,0x003ff573,-1.318848,0,0,1,203,1.015,205238,205490,206253
203,0x003ff642,-1.217773,0,0,1,203,1.015,206254,206506,207268
204,0x003ff6d2,-1.147461,0,0,1,203,1.015,207270,207522,208283
205,0x003ff5d4,-1.271484,0,0,1,202,1.010,208286,208538,209298
206,0x003ff552,-1.334961,0,0,1,203,1.015,209298,209550,210313
207,0x003ff427,-1.480957,0,0,1,203,1.015,210314,210566,211328
208,0x003ff4d6,-1.395508,0,0,1,203,1.015,211330,211582,212343
209,0x003ff6d9,-1.144043,0,0,1,202,1.010,212346,212598,213358
210,0x003ff6cf,-1.148926,0,0,1,203,1.015,213358,213610,214373
211,0x003ff5c6,-1.278320,0,0,1,203,1.015,214374,214626,215388
212,0x003ff53a,-1.346680,0,0,1,203,1.015,215390,215642,216403
213,0x003ff437,-1.473145,0,0,1,202,1.010,216406,216658,217418
214,0x003ff3cf,-1.523926,0,0,1,203,1.015,217418,217670,218433
215,0x003ff637,-1.223145,0,0,1,203,1.015,218434,218686,219448
216,0x003ff632,-1.225586,0,0,1,203,1.015,219450,219702,220463
217,0x003ff574,-1.318359,0,0,1,202,1.010,220466,220718,221478
218,0x003ff53b,-1.346191,0,0,1,203,1.015,221478,221730,222493
219,0x003ff4b9,-1.409668,0,0,1,203,1.015,222494,222746,223508
220,0x003ff43d,-1.470215,0,0,1,203,1.015,223510,223762,224523
221,0x003ff5e4,-1.263672,0,0,1,202,1.010,224526,224778,225538
222,0x003ff63f,-1.219238,0,0,1,203,1.015,225538,225790,226553
223,0x003ff614,-1.240234,0,0,1,203,1.015,226554,226806,227568
