sample_id,stim_kind,pulse_offset_sample,pulse_start_ns,pulse_width_samples,pulse_peak_mv,adc_code_pos,adc_code_neg,pulse_channel,hex_out,float_out,label,prediction,correct,latency_cycles_cnn,latency_us
123,polar_sweep,123,123,5,50.000,256,0,0,0x003fef16,-2.114258,0,0,1,204,1.020
124,polar_sweep,124,124,5,50.000,256,0,0,0x003fefc6,-2.028320,0,0,1,204,1.020
125,polar_sweep,125,125,5,50.000,256,0,0,0x003fefda,-2.018555,0,0,1,204,1.020
126,polar_sweep,126,126,5,50.000,256,0,0,0x003feea6,-2.168945,0,0,1,203,1.015
127,polar_sweep,127,127,5,50.000,256,0,0,0x003fee6a,-2.198242,0,0,1,203,1.015
128,polar_sweep,128,128,5,50.000,256,0,0,0x003ff01c,-1.986328,0,0,1,204,1.020
129,polar_sweep,129,129,5,50.000,256,0,0,0x003ff160,-1.828125,0,0,1,204,1.020
130,polar_sweep,130,130,5,50.000,256,0,0,0x003ff2dc,-1.642578,0,0,1,204,1.020
131,polar_sweep,131,131,5,50.000,256,0,0,0x003ff317,-1.613770,0,0,1,203,1.015
132,polar_sweep,132,132,5,50.000,256,0,0,0x003ff1ab,-1.791504,0,0,1,203,1.015
133,polar_sweep,133,133,5,50.000,256,0,0,0x003ff1cf,-1.773926,0,0,1,204,1.020
134,polar_sweep,134,134,5,50.000,256,0,0,0x003ff379,-1.565918,0,0,1,204,1.020
135,polar_sweep,135,135,5,50.000,256,0,0,0x003ff3c1,-1.530762,0,0,1,204,1.020
136,polar_sweep,136,136,5,50.000,256,0,0,0x003ff431,-1.476074,0,0,1,203,1.015
137,polar_sweep,137,137,5,50.000,256,0,0,0x003ff3c9,-1.526855,0,0,1,203,1.015
138,polar_sweep,138,138,5,50.000,256,0,0,0x003ff15d,-1.829590,0,0,1,204,1.020
139,polar_sweep,139,139,5,50.000,256,0,0,0x003ff079,-1.940918,0,0,1,204,1.020
140,polar_sweep,140,140,5,50.000,256,0,0,0x003ff1bd,-1.782715,0,0,1,204,1.020
141,polar_sweep,141,141,5,50.000,256,0,0,0x003ff1e5,-1.763184,0,0,1,203,1.015
142,polar_sweep,142,142,5,50.000,256,0,0,0x003ff21d,-1.735840,0,0,1,203,1.015
143,polar_sweep,143,143,5,50.000,256,0,0,0x003ff168,-1.824219,0,0,1,204,1.020
144,polar_sweep,144,144,5,50.000,256,0,0,0x003fefc8,-2.027344,0,0,1,204,1.020
145,polar_sweep,145,145,5,50.000,256,0,0,0x003fef9c,-2.048828,0,0,1,204,1.020
146,polar_sweep,146,146,5,50.000,256,0,0,0x003ff104,-1.873047,0,0,1,203,1.015
147,polar_sweep,147,147,5,50.000,256,0,0,0x003ff0b8,-1.910156,0,0,1,203,1.015
148,polar_sweep,148,148,5,50.000,256,0,0,0x003ff0ac,-1.916016,0,0,1,204,1.020
149,polar_sweep,149,149,5,50.000,256,0,0,0x003ff07a,-1.940430,0,0,1,204,1.020
150,polar_sweep,150,150,5,50.000,256,0,0,0x003fef0c,-2.119141,0,0,1,204,1.020
151,polar_sweep,151,151,5,50.000,256,0,0,0x003feea4,-2.169922,0,0,1,203,1.015
152,polar_sweep,152,152,5,50.000,256,0,0,0x003fef6a,-2.073242,0,0,1,203,1.015
